year,percentile_90,extent
2001,886.77576,11500000.0
2002,889.8553,7250000.0
2003,887.5072,11250000.0
2004,852.43677,5750000.0
2005,893.37976,12500000.0
2006,898.59155,12500000.0
2007,898.2427,12750000.0
2008,894.073,12250000.0
2009,889.1367,12750000.0
2010,897.72656,13500000.0
2011,897.72656,13500000.0
2012,897.72656,13500000.0
2013,821.8834,3500000.0
2014,897.21045,11750000.0
2015,897.72656,13500000.0
2016,895.218,11000000.0
2017,871.0742,8000000.0
2018,873.0634,4500000.0
2019,897.72656,13500000.0
2020,897.72656,13500000.0
2021,893.90063,10000000.0
2022,897.72656,13500000.0
2023,897.72656,13500000.0
2024,823.3408,7250000.0
2025,787.3375,3500000.0
