year,percentile_90,extent
2001,818.5896,392500000.0
2002,818.62195,380750000.0
2003,826.129,407500000.0
2004,784.3533,333500000.0
2005,837.9662,407750000.0
2006,855.9967,419500000.0
2007,871.81696,466000000.0
2008,878.55963,493750000.0
2009,886.962,502750000.0
2010,908.3046,520250000.0
2011,971.611,577500000.0
2012,1011.24774,654750000.0
2013,759.19794,336750000.0
2014,924.54895,515750000.0
2015,989.988,628750000.0
2016,849.8121,419500000.0
2017,818.9272,411750000.0
2018,786.94257,346500000.0
2019,910.7182,553750000.0
2020,802.80084,389750000.0
2021,840.0352,420000000.0
2022,834.6083,413750000.0
2023,871.4374,442500000.0
2024,827.5886,395000000.0
2025,750.3915,328250000.0
