year,percentile_90,extent
2001,1529.7123,729750000.0
2002,1439.7953,562500000.0
2003,1554.7001,771000000.0
2004,1541.755,785750000.0
2005,1446.8055,588750000.0
2006,1452.9365,652250000.0
2007,1517.9421,729500000.0
2008,1558.3639,872500000.0
2009,1426.1782,591500000.0
2010,1560.543,917250000.0
2011,1549.4182,793250000.0
2012,1579.4645,942500000.0
2013,1451.7152,542000000.0
2014,1530.6305,735000000.0
2015,1459.2831,621250000.0
2016,1568.1201,869750000.0
2017,1562.2144,882250000.0
2018,1490.4479,615750000.0
2019,1587.3359,872000000.0
2020,1572.7336,837250000.0
2021,1578.4766,930250000.0
2022,1494.9949,742750000.0
2023,1631.7944,1068250000.0
2024,1505.0317,697250000.0
2025,1579.441,870250000.0
