year,percentile_90,extent
2001,1655.8031,383750000.0
2002,1702.3796,452500000.0
2003,1663.1904,415250000.0
2004,1713.5729,487000000.0
2005,1673.6533,414250000.0
2006,1676.9708,428500000.0
2007,1710.4778,472750000.0
2008,1660.4955,354500000.0
2009,1673.7338,298000000.0
2010,1714.7104,442500000.0
2011,1681.5447,426500000.0
2012,1716.8387,500500000.0
2013,1696.788,482000000.0
2014,1687.78,340750000.0
2015,1765.3105,356500000.0
2016,1681.1423,400500000.0
2017,1667.4913,345750000.0
2018,1701.938,330250000.0
2019,1719.9469,500250000.0
2020,1646.1171,368000000.0
2021,1754.0695,486250000.0
2022,1668.0309,339500000.0
2023,1670.2817,400000000.0
2024,2065.841,527000000.0
2025,1783.5194,448750000.0
