year,percentile_90,extent
2001,1258.9752,225500000.0
2002,1258.9219,235750000.0
2003,1307.8916,172250000.0
2004,1327.9358,261750000.0
2005,1316.7443,287000000.0
2006,1283.4817,277750000.0
2007,1323.481,272750000.0
2008,1307.7899,292500000.0
2009,1284.6099,240000000.0
2010,1322.6576,293500000.0
2011,1279.6769,237500000.0
2012,1449.0168,411500000.0
2013,1308.501,210750000.0
2014,1311.1112,284000000.0
2015,1307.2845,251500000.0
2016,1306.8002,278000000.0
2017,1321.7502,282500000.0
2018,1256.4617,251250000.0
2019,1257.3304,238250000.0
2020,1320.7651,278250000.0
2021,1320.3337,285000000.0
2022,1310.0436,273250000.0
2023,1494.3435,443250000.0
2024,1256.821,257750000.0
2025,1283.9714,265000000.0
