year,percentile_90,extent
2001,771.6515,176250000.0
2002,731.8068,131750000.0
2003,812.4935,204500000.0
2004,746.5944,158750000.0
2005,846.88696,222500000.0
2006,799.1662,165250000.0
2007,821.89716,204250000.0
2008,958.1557,274250000.0
2009,871.9143,235750000.0
2010,860.1298,204500000.0
2011,956.84485,293000000.0
2012,957.631,309250000.0
2013,612.9483,105750000.0
2014,869.452,220750000.0
2015,1007.32245,338250000.0
2016,874.02765,219500000.0
2017,734.00507,161000000.0
2018,627.794,113750000.0
2019,885.987,244500000.0
2020,898.17474,240250000.0
2021,875.61316,189500000.0
2022,850.49866,190000000.0
2023,950.3913,265500000.0
2024,825.5112,172750000.0
2025,779.4853,167500000.0
