year,percentile_90,extent
2001,831.93427,178000000.0
2002,698.38477,128750000.0
2003,787.2043,163500000.0
2004,674.4824,126750000.0
2005,798.61707,168250000.0
2006,802.99677,169750000.0
2007,830.4086,187000000.0
2008,846.9029,194750000.0
2009,851.39056,196000000.0
2010,871.1422,205500000.0
2011,908.61414,227750000.0
2012,913.92645,230500000.0
2013,676.4035,120500000.0
2014,805.77124,172250000.0
2015,909.51056,223500000.0
2016,829.68555,184750000.0
2017,712.72516,137250000.0
2018,674.16595,121750000.0
2019,837.48016,188000000.0
2020,834.208,186000000.0
2021,778.1696,153500000.0
2022,823.49414,179500000.0
2023,886.22644,211250000.0
2024,770.4037,147500000.0
2025,677.16376,127000000.0
