year,percentile_90,extent
2001,1347.4417,835500000.0
2002,1257.3665,589500000.0
2003,1530.5946,1121250000.0
2004,1332.6311,769000000.0
2005,1179.4991,462000000.0
2006,1405.1808,868000000.0
2007,1560.4861,1251000000.0
2008,1500.2351,1125250000.0
2009,1290.1086,610750000.0
2010,1600.4636,1473000000.0
2011,1575.1996,1297250000.0
2012,1695.8474,1774000000.0
2013,1354.693,797500000.0
2014,1470.1797,1008250000.0
2015,1245.884,508500000.0
2016,1586.1743,1340500000.0
2017,1374.641,822000000.0
2018,1442.744,953750000.0
2019,1578.0629,1312250000.0
2020,1582.2861,1254750000.0
2021,1497.5966,1078250000.0
2022,1516.7046,1034500000.0
2023,1698.7341,1864750000.0
2024,1353.0809,712500000.0
2025,1614.5181,1479750000.0
