year,percentile_90,extent
2001,1752.8013,505500000.0
2002,1721.0013,497250000.0
2003,1736.4233,533750000.0
2004,1717.008,531000000.0
2005,1724.0627,539750000.0
2006,1733.1906,531250000.0
2007,1735.5316,606250000.0
2008,1710.7551,524000000.0
2009,1763.2761,559500000.0
2010,1776.1691,647250000.0
2011,1765.0491,661750000.0
2012,1772.5402,753750000.0
2013,1735.9977,543000000.0
2014,1745.404,580750000.0
2015,1775.9327,615750000.0
2016,1765.0475,627000000.0
2017,1742.0773,541250000.0
2018,1691.9833,500000000.0
2019,1782.4252,656500000.0
2020,1734.4695,505500000.0
2021,1773.9868,590250000.0
2022,1750.0183,523750000.0
2023,1727.5126,592750000.0
2024,1734.5997,507750000.0
2025,1755.4628,594750000.0
