year,percentile_90,extent
2001,774.7954,121250000.0
2002,750.3601,169000000.0
2003,838.62213,125500000.0
2004,789.9967,177000000.0
2005,692.85614,227250000.0
2006,751.7192,225250000.0
2007,760.26025,246500000.0
2008,751.17554,230750000.0
2009,801.1523,176250000.0
2010,804.5928,390250000.0
2011,703.19324,256250000.0
2012,804.1686,302000000.0
2013,768.9555,135500000.0
2014,790.5291,171000000.0
2015,775.2935,135500000.0
2016,790.3464,138500000.0
2017,723.0807,181250000.0
2018,763.987,145250000.0
2019,788.8573,152750000.0
2020,749.5447,159750000.0
2021,763.9707,192750000.0
2022,689.75116,202000000.0
2023,751.7192,230250000.0
2024,729.3536,185500000.0
2025,897.6911,268750000.0
