year,percentile_90,extent
2001,1304.7936,168250000.0
2002,1309.094,153250000.0
2003,1413.8381,127250000.0
2004,1386.8789,179750000.0
2005,1266.6865,191000000.0
2006,1333.6954,182500000.0
2007,1314.0798,175000000.0
2008,1279.0779,225000000.0
2009,1305.5648,125000000.0
2010,1320.8618,188500000.0
2011,1290.3989,171500000.0
2012,1344.5463,277500000.0
2013,1405.2103,143250000.0
2014,1423.3403,146000000.0
2015,1316.088,181500000.0
2016,1415.0493,146750000.0
2017,1353.7609,188250000.0
2018,1328.5353,136250000.0
2019,1419.3137,135000000.0
2020,1418.0776,168000000.0
2021,1370.0527,191500000.0
2022,1398.8276,227500000.0
2023,1427.9078,315500000.0
2024,1304.5985,178750000.0
2025,1299.1119,198250000.0
