year,percentile_90,extent
2001,750.21893,201250000.0
2002,724.8005,195500000.0
2003,742.4679,163500000.0
2004,750.04517,227000000.0
2005,775.5549,248250000.0
2006,754.02344,225750000.0
2007,775.77905,237750000.0
2008,820.0024,291500000.0
2009,749.8714,170250000.0
2010,750.4507,237750000.0
2011,728.27765,238250000.0
2012,805.10785,296000000.0
2013,756.38354,153250000.0
2014,771.09143,178250000.0
2015,737.7213,231750000.0
2016,769.34235,201750000.0
2017,727.83057,209250000.0
2018,773.1604,172500000.0
2019,763.27295,156750000.0
2020,761.47943,187000000.0
2021,810.1539,247250000.0
2022,761.7068,211000000.0
2023,806.45056,333750000.0
2024,747.37115,203250000.0
2025,745.06696,270000000.0
