year,percentile_90,extent
2001,1266.2646,209750000.0
2002,1289.2721,196250000.0
2003,1348.1184,162750000.0
2004,1326.3105,211750000.0
2005,1268.0908,208000000.0
2006,1275.2451,218000000.0
2007,1289.3419,192750000.0
2008,1292.0769,226750000.0
2009,1313.6025,170750000.0
2010,1319.5754,205250000.0
2011,1267.3496,210000000.0
2012,1342.7089,252250000.0
2013,1292.3623,175000000.0
2014,1312.2196,204000000.0
2015,1280.0569,232750000.0
2016,1293.2167,190250000.0
2017,1291.1674,218500000.0
2018,1289.2896,186000000.0
2019,1330.172,165250000.0
2020,1283.4067,213000000.0
2021,1337.562,239250000.0
2022,1292.7421,251500000.0
2023,1479.4165,286500000.0
2024,1432.3558,237000000.0
2025,1430.3065,206750000.0
