year,percentile_90,extent
2001,1358.5573,289500000.0
2002,1221.4701,410000000.0
2003,1425.5211,219500000.0
2004,1306.4602,295250000.0
2005,1099.3059,586000000.0
2006,1210.5317,400500000.0
2007,1122.1199,540000000.0
2008,1382.0239,238500000.0
2009,1281.3643,316250000.0
2010,1209.1978,435000000.0
2011,1228.2596,391250000.0
2012,1281.189,347000000.0
2013,1391.0997,234250000.0
2014,1230.1222,399500000.0
2015,1425.0525,225000000.0
2016,1286.1498,335500000.0
2017,1382.6031,250750000.0
2018,1320.6193,279500000.0
2019,1222.0354,415250000.0
2020,1204.1138,364000000.0
2021,1229.4993,382250000.0
2022,1285.9197,297000000.0
2023,1295.548,310500000.0
2024,1210.8318,366500000.0
2025,1138.8828,453750000.0
