year,percentile_90,extent
2001,2014.0806,357250000.0
2002,1791.8048,546500000.0
2003,1998.0391,240500000.0
2004,1961.799,289500000.0
2005,1865.6378,415750000.0
2006,1834.6516,416250000.0
2007,1894.0775,473000000.0
2008,1929.8141,312250000.0
2009,1894.8018,353750000.0
2010,1952.9451,447750000.0
2011,1940.421,418750000.0
2012,2027.9343,448750000.0
2013,2018.8429,234750000.0
2014,1982.7218,398500000.0
2015,2024.1843,275250000.0
2016,2022.2002,398250000.0
2017,1993.9023,284750000.0
2018,2011.0732,263000000.0
2019,1803.8699,591000000.0
2020,1842.0145,353000000.0
2021,1894.2089,391500000.0
2022,1962.8566,302250000.0
2023,1928.8259,359000000.0
2024,1913.8624,284250000.0
2025,1895.3262,412000000.0
