year,percentile_90,extent
2001,1340.193,171750000.0
2002,1363.3837,155250000.0
2003,1406.1727,126250000.0
2004,1374.0448,173750000.0
2005,1319.3186,172750000.0
2006,1366.4028,171500000.0
2007,1374.015,165250000.0
2008,1363.8931,189500000.0
2009,1350.206,124750000.0
2010,1373.5111,178000000.0
2011,1362.7826,159250000.0
2012,1376.8776,256500000.0
2013,1401.1713,132500000.0
2014,1398.9796,153750000.0
2015,1368.9775,180250000.0
2016,1406.3519,153000000.0
2017,1374.1594,182000000.0
2018,1374.0547,143250000.0
2019,1404.43,128750000.0
2020,1401.8945,169500000.0
2021,1350.9431,203000000.0
2022,1367.4596,225500000.0
2023,1395.1375,284000000.0
2024,1398.4843,166250000.0
2025,1406.2325,173500000.0
