year,percentile_90,extent
2001,1283.9603,244750000.0
2002,1274.6029,205750000.0
2003,1291.2053,181750000.0
2004,1279.8601,236250000.0
2005,1237.6653,241250000.0
2006,1263.4216,245000000.0
2007,1263.9093,224750000.0
2008,1274.4023,272250000.0
2009,1268.9846,186250000.0
2010,1269.7501,234250000.0
2011,1252.3745,233000000.0
2012,1306.6456,315000000.0
2013,1280.8519,190750000.0
2014,1314.8562,220500000.0
2015,1274.7109,269750000.0
2016,1289.9104,224000000.0
2017,1297.3079,252000000.0
2018,1269.8037,213750000.0
2019,1289.0826,192000000.0
2020,1316.4583,251750000.0
2021,1357.5564,271500000.0
2022,1326.7169,294000000.0
2023,1404.0417,390500000.0
2024,1279.5492,239500000.0
2025,1279.6528,246750000.0
