year,percentile_90,extent
2001,1565.9225,152250000.0
2002,1566.1042,141000000.0
2003,1577.989,129000000.0
2004,1610.1373,161000000.0
2005,1559.1738,141500000.0
2006,1569.8877,165500000.0
2007,1578.6421,148250000.0
2008,1566.6216,165000000.0
2009,1576.3022,129500000.0
2010,1579.1093,159250000.0
2011,1571.4038,156250000.0
2012,1611.5896,190000000.0
2013,1575.2653,130750000.0
2014,1592.0815,162250000.0
2015,1579.0856,175000000.0
2016,1578.4244,151000000.0
2017,1628.1982,171750000.0
2018,1572.1423,145250000.0
2019,1577.7712,134250000.0
2020,1644.363,160750000.0
2021,1592.9741,168750000.0
2022,1595.5162,182250000.0
2023,1627.8319,205250000.0
2024,1565.9225,159750000.0
2025,1630.029,160000000.0
