year,percentile_90,extent
2001,1750.4175,192250000.0
2002,1748.4982,194500000.0
2003,1811.3618,144000000.0
2004,1750.3081,180250000.0
2005,1660.0637,249000000.0
2006,1693.266,211750000.0
2007,1696.8254,221500000.0
2008,1750.2518,163750000.0
2009,1750.28,178250000.0
2010,1669.3529,253250000.0
2011,1698.1906,224000000.0
2012,1726.4481,219000000.0
2013,1750.2238,174250000.0
2014,1704.6934,219000000.0
2015,1811.7388,145250000.0
2016,1751.6425,199750000.0
2017,1750.5269,169250000.0
2018,1758.056,163000000.0
2019,1696.2272,237500000.0
2020,1704.6934,179000000.0
2021,1705.2811,193000000.0
2022,1732.2548,168500000.0
2023,1706.1577,206250000.0
2024,1690.4784,178250000.0
2025,1660.0637,224000000.0
