year,percentile_90,extent
2001,1973.0204,324000000.0
2002,1946.5637,325000000.0
2003,1966.5573,236250000.0
2004,1954.2739,271000000.0
2005,1939.27,330500000.0
2006,1946.6608,302750000.0
2007,1946.5853,337000000.0
2008,1945.8284,256500000.0
2009,1953.663,287500000.0
2010,1954.961,348500000.0
2011,1953.1139,332000000.0
2012,1987.6555,383250000.0
2013,1950.1912,276000000.0
2014,1960.5823,346250000.0
2015,1960.6544,263000000.0
2016,1982.3032,319750000.0
2017,1978.2311,266750000.0
2018,1974.9268,271250000.0
2019,1955.5062,321750000.0
2020,1935.1084,270250000.0
2021,1924.009,300750000.0
2022,1953.2786,261250000.0
2023,1937.8365,326250000.0
2024,1952.8643,280750000.0
2025,1954.7584,327000000.0
