year,percentile_90,extent
2001,1795.8785,215500000.0
2002,1716.7849,233000000.0
2003,1744.8302,169500000.0
2004,1725.6592,188000000.0
2005,1700.2837,224000000.0
2006,1708.5227,221750000.0
2007,1741.168,237250000.0
2008,1715.7498,188500000.0
2009,1700.2837,196500000.0
2010,1761.7236,243750000.0
2011,1733.5901,218750000.0
2012,1825.3375,272500000.0
2013,1748.8726,203500000.0
2014,1745.1047,261750000.0
2015,1763.1364,181750000.0
2016,1795.8447,229000000.0
2017,1777.435,177250000.0
2018,1768.7577,185750000.0
2019,1748.5698,251250000.0
2020,1711.0814,186750000.0
2021,1707.3611,206500000.0
2022,1712.201,178500000.0
2023,1709.2548,240500000.0
2024,1705.8491,190500000.0
2025,1706.2133,203500000.0
