year,percentile_90,extent
2001,827.35406,79750000.0
2002,776.7753,159500000.0
2003,851.923,68250000.0
2004,832.66516,75000000.0
2005,768.2131,146500000.0
2006,790.25415,115250000.0
2007,768.2051,140000000.0
2008,815.32837,75250000.0
2009,796.5996,99250000.0
2010,787.27997,119000000.0
2011,817.63513,106500000.0
2012,802.2253,97500000.0
2013,872.26807,53500000.0
2014,795.8062,105500000.0
2015,857.6535,65000000.0
2016,800.254,95750000.0
2017,859.34595,64500000.0
2018,808.01184,81500000.0
2019,780.9993,149750000.0
2020,748.65314,112500000.0
2021,760.45544,112250000.0
2022,815.1721,83750000.0
2023,795.23083,98250000.0
2024,819.3038,82250000.0
2025,791.20325,95000000.0
