year,percentile_90,extent
2001,1749.666,288500000.0
2002,1706.074,358250000.0
2003,1753.6946,235750000.0
2004,1761.8197,244250000.0
2005,1726.6235,302750000.0
2006,1723.4309,298000000.0
2007,1707.3335,343500000.0
2008,1760.8834,240500000.0
2009,1744.4487,263750000.0
2010,1740.2734,300750000.0
2011,1740.5725,300000000.0
2012,1752.0685,293000000.0
2013,1774.4038,231250000.0
2014,1745.715,286000000.0
2015,1770.066,231250000.0
2016,1762.6528,271250000.0
2017,1763.5575,239750000.0
2018,1762.4946,231750000.0
2019,1724.4222,314500000.0
2020,1742.9967,254750000.0
2021,1741.0032,274250000.0
2022,1752.1877,249250000.0
2023,1733.5704,304000000.0
2024,1706.8995,276000000.0
2025,1717.2844,277000000.0
