year,percentile_90,extent
2001,1079.3042,78000000.0
2002,1058.4436,82250000.0
2003,1115.4706,44250000.0
2004,1079.8247,72500000.0
2005,1063.5876,87750000.0
2006,1074.6935,81750000.0
2007,1061.0411,88500000.0
2008,1079.4114,77250000.0
2009,1073.4678,77250000.0
2010,1061.8899,88250000.0
2011,1078.7855,81750000.0
2012,1068.8136,83250000.0
2013,1052.3077,76500000.0
2014,1063.5876,87750000.0
2015,1095.1584,52250000.0
2016,1055.047,86500000.0
2017,1067.0679,58500000.0
2018,1052.5559,79000000.0
2019,1063.5876,87750000.0
2020,1056.814,87500000.0
2021,1058.5278,87250000.0
2022,1058.4436,77250000.0
2023,1083.5756,75250000.0
2024,1056.7971,87250000.0
2025,1055.0786,85750000.0
