year,percentile_90,extent
2001,1707.537,67500000.0
2002,1713.6754,63500000.0
2003,1716.3209,56000000.0
2004,1744.9739,73750000.0
2005,1687.6882,64000000.0
2006,1717.0656,66500000.0
2007,1708.419,62250000.0
2008,1744.426,76750000.0
2009,1687.6532,53750000.0
2010,1733.9895,66500000.0
2011,1707.5371,72500000.0
2012,1746.3938,90000000.0
2013,1721.9573,60250000.0
2014,1732.1213,74250000.0
2015,1721.9573,75250000.0
2016,1724.3798,70500000.0
2017,1717.2944,73250000.0
2018,1700.5068,65750000.0
2019,1782.7231,60750000.0
2020,1743.8429,73250000.0
2021,1722.7648,79500000.0
2022,1743.5865,79250000.0
2023,1743.5865,119250000.0
2024,1743.3943,75000000.0
2025,1723.8414,78500000.0
