year,percentile_90,extent
2001,2001.7471,153500000.0
2002,1851.92,193000000.0
2003,1964.675,111750000.0
2004,1984.1598,132250000.0
2005,1963.3794,154000000.0
2006,1928.717,153500000.0
2007,1954.9553,163750000.0
2008,1949.653,131250000.0
2009,1940.6196,133500000.0
2010,1997.344,167250000.0
2011,1963.3555,154000000.0
2012,2056.1135,182000000.0
2013,1964.2001,119500000.0
2014,1980.7268,161750000.0
2015,2009.891,131750000.0
2016,1978.0845,161000000.0
2017,1964.2827,129750000.0
2018,1970.6324,119250000.0
2019,1805.8043,242500000.0
2020,1931.5476,145750000.0
2021,1957.5494,179250000.0
2022,1957.2958,129750000.0
2023,1963.3555,164000000.0
2024,2005.5652,125250000.0
2025,1981.0314,151000000.0
