year,percentile_90,extent
2001,1107.8099,477750000.0
2002,1126.2252,502500000.0
2003,1212.8195,597750000.0
2004,1213.1183,607750000.0
2005,1215.3756,618500000.0
2006,1206.3278,605250000.0
2007,1229.9531,679250000.0
2008,1200.7854,601250000.0
2009,1209.0311,608750000.0
2010,1291.9045,742250000.0
2011,1346.8884,837750000.0
2012,1492.1041,1037250000.0
2013,1124.5349,504000000.0
2014,1307.7435,753500000.0
2015,1377.2996,908750000.0
2016,1238.2634,678750000.0
2017,1171.3103,542250000.0
2018,1098.2577,477000000.0
2019,1333.279,788250000.0
2020,1230.8259,666000000.0
2021,1337.9631,748750000.0
2022,1153.3615,519250000.0
2023,1335.517,647750000.0
2024,1193.8752,544250000.0
2025,1237.4976,632000000.0
