year,percentile_90,extent
2001,933.425,886250000.0
2002,973.40155,964250000.0
2003,1010.38196,1071250000.0
2004,1019.2628,1085750000.0
2005,1053.0599,1138250000.0
2006,1021.32623,1086500000.0
2007,1126.2864,1257250000.0
2008,1076.0774,1177500000.0
2009,1061.0221,1153750000.0
2010,1193.0822,1413000000.0
2011,1222.372,1475500000.0
2012,1306.3077,1664000000.0
2013,1016.2594,1061500000.0
2014,1195.7283,1411750000.0
2015,1259.9603,1561750000.0
2016,1128.6545,1259750000.0
2017,1008.5651,1066000000.0
2018,985.66614,975750000.0
2019,1150.7856,1308750000.0
2020,1099.4836,1163250000.0
2021,1079.335,1175000000.0
2022,992.7676,963750000.0
2023,1003.9977,999500000.0
2024,982.4073,985000000.0
2025,994.74915,910000000.0
