year,percentile_90,extent
2001,1205.1693,599750000.0
2002,1210.7402,606750000.0
2003,1267.0382,671250000.0
2004,1283.6012,685750000.0
2005,1316.5991,729750000.0
2006,1302.7605,717000000.0
2007,1334.1442,775000000.0
2008,1284.775,699500000.0
2009,1300.5782,716250000.0
2010,1383.4026,877750000.0
2011,1409.85,921250000.0
2012,1504.8385,1098750000.0
2013,1209.9458,594750000.0
2014,1376.1465,864750000.0
2015,1447.9403,1003500000.0
2016,1356.014,805250000.0
2017,1241.7007,646750000.0
2018,1146.6301,521000000.0
2019,1397.0371,903000000.0
2020,1318.5059,748500000.0
2021,1379.8865,849750000.0
2022,1269.594,665750000.0
2023,1432.6278,869750000.0
2024,1220.4922,585250000.0
2025,1364.3585,800750000.0
