year,percentile_90,extent
2001,1170.4523,535500000.0
2002,1173.9746,538250000.0
2003,1213.7108,560750000.0
2004,1255.5386,580500000.0
2005,1230.2241,567000000.0
2006,1234.4081,569500000.0
2007,1262.7112,583750000.0
2008,1234.9227,570000000.0
2009,1251.7595,578250000.0
2010,1290.4948,596750000.0
2011,1310.5883,605750000.0
2012,1319.3132,609250000.0
2013,1179.5476,544250000.0
2014,1274.6473,589250000.0
2015,1316.1396,607750000.0
2016,1283.076,594250000.0
2017,1222.8147,562500000.0
2018,1165.5743,532000000.0
2019,1306.4337,603250000.0
2020,1252.939,578750000.0
2021,1271.4146,587750000.0
2022,1228.0361,565000000.0
2023,1286.592,595000000.0
2024,1227.9174,563750000.0
2025,1265.7888,585500000.0
