year,percentile_90,extent
2001,959.77563,462500000.0
2002,1029.091,559750000.0
2003,1028.9746,571500000.0
2004,1022.19244,560500000.0
2005,1055.7661,628500000.0
2006,1063.3171,635750000.0
2007,1094.3257,726750000.0
2008,1079.6172,701250000.0
2009,1090.2273,710250000.0
2010,1164.1571,815250000.0
2011,1142.0505,787500000.0
2012,1278.2527,975250000.0
2013,999.34906,497000000.0
2014,1161.063,809750000.0
2015,1170.4874,822000000.0
2016,1092.2806,703000000.0
2017,987.62286,507500000.0
2018,962.68066,478750000.0
2019,1092.6626,719000000.0
2020,1063.1443,607000000.0
2021,1028.2505,559000000.0
2022,996.87866,486000000.0
2023,1121.7288,645250000.0
2024,995.5137,475750000.0
2025,935.8332,417500000.0
