year,percentile_90,extent
2001,885.8881,419000000.0
2002,1014.34753,558500000.0
2003,995.6364,568000000.0
2004,987.7029,556250000.0
2005,1123.4171,691000000.0
2006,1083.0239,670250000.0
2007,1116.6001,749000000.0
2008,1085.9259,706000000.0
2009,1110.836,729250000.0
2010,1158.8104,842750000.0
2011,1157.0804,841000000.0
2012,1304.3721,1052750000.0
2013,933.33606,476250000.0
2014,1176.7755,861250000.0
2015,1210.6472,897500000.0
2016,1118.6052,728250000.0
2017,912.9725,500000000.0
2018,916.01654,486500000.0
2019,1122.0951,762250000.0
2020,1003.84467,542250000.0
2021,1037.5525,581250000.0
2022,962.6433,422250000.0
2023,1137.243,670500000.0
2024,982.96643,457250000.0
2025,961.6136,284000000.0
