year,percentile_90,extent
2001,1357.0919,3900250000.0
2002,1320.6339,3595500000.0
2003,1459.311,4640250000.0
2004,1474.8997,4687750000.0
2005,1414.5576,4359000000.0
2006,1292.0212,3423750000.0
2007,1542.4617,5495750000.0
2008,1340.1207,3776500000.0
2009,1297.6827,3474750000.0
2010,1484.251,4983250000.0
2011,1524.3137,5407250000.0
2012,1672.8784,6971250000.0
2013,1451.362,4739500000.0
2014,1472.3375,4929750000.0
2015,1395.2736,4159250000.0
2016,1531.6804,5416000000.0
2017,1336.6085,3736000000.0
2018,1379.0446,4043750000.0
2019,1533.9109,5447250000.0
2020,1339.9849,3755500000.0
2021,1436.3918,4599000000.0
2022,1393.404,4194500000.0
2023,1509.5535,5146750000.0
2024,1252.7644,3173500000.0
2025,1450.4396,4691750000.0
