year,percentile_90,extent
2001,861.1515,136000000.0
2002,740.857,76750000.0
2003,806.4709,110500000.0
2004,699.89185,68250000.0
2005,867.2688,129750000.0
2006,819.82526,115500000.0
2007,855.59467,142500000.0
2008,896.29834,149750000.0
2009,877.7766,146750000.0
2010,937.8936,170000000.0
2011,981.7602,211750000.0
2012,992.86755,219000000.0
2013,669.49365,61000000.0
2014,883.71924,140250000.0
2015,958.0195,189250000.0
2016,839.173,120500000.0
2017,760.7494,89750000.0
2018,720.1388,66750000.0
2019,874.9906,145500000.0
2020,914.43555,155750000.0
2021,814.5906,110500000.0
2022,877.76404,147250000.0
2023,943.0718,179750000.0
2024,821.40356,116250000.0
2025,741.75745,86000000.0
