year,percentile_90,extent
2001,909.78595,2250000.0
2002,919.7474,2250000.0
2003,914.21967,2500000.0
2004,870.2377,1500000.0
2005,898.73065,2250000.0
2006,906.9241,2250000.0
2007,908.6921,2750000.0
2008,908.6921,2750000.0
2009,908.6921,2750000.0
2010,908.6921,2750000.0
2011,951.0497,3000000.0
2012,951.0497,3000000.0
2013,870.9641,1500000.0
2014,955.7561,2750000.0
2015,951.0497,3000000.0
2016,898.73065,2250000.0
2017,837.59515,1000000.0
2018,922.29974,1000000.0
2019,914.21967,2500000.0
2020,908.6921,2750000.0
2021,909.78595,2250000.0
2022,908.6921,2750000.0
2023,951.0497,3000000.0
2024,951.0497,3000000.0
2025,907.1451,2000000.0
