year,percentile_90,extent
2001,1800.7676,854500000.0
2002,1775.5728,918000000.0
2003,1747.0319,822000000.0
2004,1773.1719,939750000.0
2005,1770.121,936250000.0
2006,1798.6045,945500000.0
2007,1791.451,1011250000.0
2008,1743.1578,741000000.0
2009,1768.4696,557750000.0
2010,1779.91,974500000.0
2011,1779.0396,875500000.0
2012,1837.8005,1194250000.0
2013,1782.5544,982000000.0
2014,1764.8872,737250000.0
2015,1745.7617,715500000.0
2016,1793.0946,927000000.0
2017,1767.5765,709500000.0
2018,1788.5437,676500000.0
2019,1815.8267,1077000000.0
2020,1741.8984,721750000.0
2021,1774.6991,947250000.0
2022,1756.2943,632000000.0
2023,1768.4733,839250000.0
2024,1826.09,833750000.0
2025,1767.1377,925250000.0
