year,percentile_90,extent
2001,1871.5521,1098000000.0
2002,1843.6173,1200500000.0
2003,1824.3079,1152500000.0
2004,1843.0287,1332750000.0
2005,1838.2648,1321500000.0
2006,1830.4204,1193000000.0
2007,1864.6063,1411000000.0
2008,1881.933,1220250000.0
2009,1797.8997,1015750000.0
2010,1875.6772,1315750000.0
2011,1851.5599,1356250000.0
2012,1864.1761,1590750000.0
2013,1817.1844,1302500000.0
2014,1812.44,1062000000.0
2015,1839.5309,1146500000.0
2016,1866.0546,1255250000.0
2017,1816.7643,955250000.0
2018,1813.8589,934000000.0
2019,1874.5096,1285250000.0
2020,1808.2529,1045250000.0
2021,1846.0808,1198000000.0
2022,1790.7151,1017500000.0
2023,1825.7229,1145250000.0
2024,1832.5942,1127750000.0
2025,1851.462,1247500000.0
