year,percentile_90,extent
2001,1501.6375,1439000000.0
2002,1548.5972,1568750000.0
2003,1551.3269,1581250000.0
2004,1568.1318,1699000000.0
2005,1579.4144,1684250000.0
2006,1521.0842,1493000000.0
2007,1570.7716,1627750000.0
2008,1525.7498,1579000000.0
2009,1566.5189,1585500000.0
2010,1520.8452,1580000000.0
2011,1566.2052,1623250000.0
2012,1674.7063,1975250000.0
2013,1595.6239,1754250000.0
2014,1520.8188,1521250000.0
2015,1565.9231,1609500000.0
2016,1552.8422,1577250000.0
2017,1347.611,1278750000.0
2018,1340.9662,1156000000.0
2019,1575.2805,1710750000.0
2020,1510.0665,1494500000.0
2021,1538.6782,1531000000.0
2022,1410.406,1417250000.0
2023,1600.0651,1747250000.0
2024,1447.9921,1450500000.0
2025,1522.6995,1565750000.0
