year,percentile_90,extent
2001,1447.501,1521750000.0
2002,1427.2776,1624000000.0
2003,1421.7544,1577750000.0
2004,1485.6018,1710750000.0
2005,1478.7637,1721250000.0
2006,1397.7058,1444250000.0
2007,1453.436,1626750000.0
2008,1462.0918,1678500000.0
2009,1443.9419,1666750000.0
2010,1450.4153,1639000000.0
2011,1479.8397,1644750000.0
2012,1532.1425,1916750000.0
2013,1471.7312,1574000000.0
2014,1391.637,1545500000.0
2015,1454.6718,1723250000.0
2016,1436.7451,1640250000.0
2017,1333.937,1408750000.0
2018,1239.4475,1195250000.0
2019,1506.2938,1900250000.0
2020,1434.3262,1663250000.0
2021,1480.7142,1707250000.0
2022,1323.2914,1393500000.0
2023,1531.3423,2039000000.0
2024,1425.9147,1520750000.0
2025,1449.5981,1692000000.0
