year,percentile_90,extent
2001,680.026,97250000.0
2002,599.52246,51750000.0
2003,644.37524,85750000.0
2004,591.4938,64500000.0
2005,704.4197,51750000.0
2006,646.3113,79500000.0
2007,712.5089,105000000.0
2008,674.4104,126000000.0
2009,704.3659,138250000.0
2010,693.69446,122250000.0
2011,743.9447,138750000.0
2012,706.07697,144500000.0
2013,595.8927,53000000.0
2014,617.92694,95500000.0
2015,724.1072,136500000.0
2016,674.3605,93500000.0
2017,571.18726,78750000.0
2018,478.14645,57250000.0
2019,727.0572,122500000.0
2020,645.7108,84750000.0
2021,752.699,103250000.0
2022,648.7129,93500000.0
2023,596.6678,82500000.0
2024,672.5912,81250000.0
2025,592.01196,64250000.0
