year,percentile_90,extent
2001,761.1406,44000000.0
2002,736.60284,24750000.0
2003,710.76196,41000000.0
2004,718.0957,32250000.0
2005,773.2123,25500000.0
2006,691.9169,37000000.0
2007,748.8114,51000000.0
2008,745.8358,60750000.0
2009,767.79474,78250000.0
2010,731.65875,51000000.0
2011,759.854,79750000.0
2012,756.301,70750000.0
2013,740.2302,22750000.0
2014,691.18384,40250000.0
2015,735.919,72500000.0
2016,693.32776,48250000.0
2017,538.2243,43750000.0
2018,712.7178,25500000.0
2019,759.70605,52500000.0
2020,742.61444,36750000.0
2021,799.9852,35250000.0
2022,755.40045,41000000.0
2023,754.63995,39500000.0
2024,756.9722,21750000.0
2025,485.29053,26250000.0
