year,percentile_90,extent
2001,572.8844,1478250000.0
2002,634.2065,1838000000.0
2003,647.9789,1980750000.0
2004,624.1969,1803000000.0
2005,647.48737,1955500000.0
2006,430.03592,978000000.0
2007,606.0805,1672000000.0
2008,674.99255,2144500000.0
2009,628.86304,1739250000.0
2010,649.19415,2000000000.0
2011,649.5544,2001250000.0
2012,684.1229,2141250000.0
2013,621.9473,1737500000.0
2014,659.7355,2023500000.0
2015,634.9801,1444500000.0
2016,712.78345,2200500000.0
2017,651.0249,1970250000.0
2018,412.14148,591750000.0
2019,678.0297,2084750000.0
2020,684.75226,2134250000.0
2021,663.5389,2039750000.0
2022,596.45416,1538000000.0
2023,730.3763,2233000000.0
2024,648.4741,1844500000.0
2025,619.0365,1606750000.0
