year,percentile_90,extent
2001,1890.2445,25294750000.0
2002,1842.573,28041000000.0
2003,1863.1057,21603500000.0
2004,1836.7601,26618750000.0
2005,1822.0465,31183250000.0
2006,1827.4027,28093500000.0
2007,1846.0515,32670250000.0
2008,1844.2524,24363250000.0
2009,1841.5752,23531250000.0
2010,1859.6343,32276500000.0
2011,1843.0934,30464250000.0
2012,1898.6285,34179000000.0
2013,1837.2329,28330500000.0
2014,1849.8654,28604750000.0
2015,1906.1096,22986750000.0
2016,1879.9277,30151250000.0
2017,1901.7218,21104000000.0
2018,1877.6603,23189250000.0
2019,1868.008,33100000000.0
2020,1802.709,26616250000.0
2021,1837.5242,30227750000.0
2022,1832.9583,23102750000.0
2023,1846.6748,27130000000.0
2024,1885.5317,29341250000.0
2025,1828.5427,29488750000.0
