year,percentile_90,extent
2001,1272.3662,16998500000.0
2002,1263.1632,16858500000.0
2003,1326.2212,19325500000.0
2004,1342.5465,19696750000.0
2005,1311.9344,19019500000.0
2006,1271.6023,17256000000.0
2007,1409.7964,23007500000.0
2008,1280.8461,18829250000.0
2009,1276.941,17924500000.0
2010,1383.4675,22335500000.0
2011,1418.7141,23930500000.0
2012,1514.7656,27940500000.0
2013,1335.7706,20182750000.0
2014,1382.5283,22084250000.0
2015,1332.998,20667000000.0
2016,1406.5295,23321750000.0
2017,1285.1113,18341750000.0
2018,1308.0431,18236250000.0
2019,1426.5243,24192500000.0
2020,1262.3567,16795500000.0
2021,1343.1979,19875250000.0
2022,1298.0435,17777250000.0
2023,1418.6892,21509000000.0
2024,1251.0627,16862000000.0
2025,1372.9366,21312750000.0
