year,percentile_90,extent
2001,1726.3145,18469000000.0
2002,1719.5527,21565000000.0
2003,1733.2217,21823000000.0
2004,1756.108,22097500000.0
2005,1756.3401,23294250000.0
2006,1819.7937,16364500000.0
2007,1825.3079,21177500000.0
2008,1668.2944,23907000000.0
2009,1655.8138,19240750000.0
2010,1742.6603,22172750000.0
2011,1754.7354,22571750000.0
2012,1789.2615,27115750000.0
2013,1761.995,21123000000.0
2014,1683.4282,19917750000.0
2015,1711.4906,19626250000.0
2016,1767.5455,24120500000.0
2017,1651.2126,19544750000.0
2018,1818.5778,11266750000.0
2019,1717.991,24572500000.0
2020,1597.5704,21085500000.0
2021,1691.6433,21569500000.0
2022,1692.5463,16739500000.0
2023,1639.5061,25758500000.0
2024,1621.633,18763000000.0
2025,1726.9406,19264500000.0
