year,percentile_90,extent
2001,1032.3484,17293750000.0
2002,994.1984,16542250000.0
2003,992.80396,16900750000.0
2004,943.543,13739750000.0
2005,982.3862,16313750000.0
2006,917.7974,11507750000.0
2007,913.1359,12065000000.0
2008,1058.2362,20936000000.0
2009,967.6189,15995000000.0
2010,968.14636,16203000000.0
2011,978.07666,17088500000.0
2012,1087.6305,23165000000.0
2013,921.6877,7880250000.0
2014,1035.4392,18702000000.0
2015,1085.256,22927750000.0
2016,1038.9335,18663500000.0
2017,994.10077,13770000000.0
2018,977.72595,12881250000.0
2019,1071.3353,22975250000.0
2020,1023.81195,19037500000.0
2021,1022.86816,16060250000.0
2022,1038.6929,19282000000.0
2023,1110.4977,24805500000.0
2024,993.30536,16200750000.0
2025,897.01605,10462250000.0
