year,percentile_90,extent
2001,1098.9169,20859750000.0
2002,1097.7732,18610000000.0
2003,1099.8147,21787750000.0
2004,1132.9027,19587250000.0
2005,1162.5415,22002000000.0
2006,1124.2417,22219000000.0
2007,1171.4586,25582750000.0
2008,1110.5972,25601000000.0
2009,1121.7355,26091250000.0
2010,1220.8922,28034750000.0
2011,1231.4326,30334500000.0
2012,1349.9146,34599750000.0
2013,1129.1458,16173000000.0
2014,1219.7151,26165250000.0
2015,1266.4109,32058500000.0
2016,1201.3281,25095500000.0
2017,1107.9861,19563000000.0
2018,1064.2789,16411750000.0
2019,1217.0288,28524000000.0
2020,1129.1289,22471250000.0
2021,1195.6056,22677000000.0
2022,1101.7168,21619000000.0
2023,1219.0083,25263250000.0
2024,1097.9832,19086250000.0
2025,1256.4851,18147000000.0
