year,percentile_90,extent
2001,1453.7423,15279750000.0
2002,1420.6688,15045000000.0
2003,1480.4022,12848000000.0
2004,1439.7599,15850500000.0
2005,1397.4769,17455750000.0
2006,1402.5563,17194500000.0
2007,1447.2871,18660000000.0
2008,1425.5486,18358750000.0
2009,1437.077,15839250000.0
2010,1429.1722,20206000000.0
2011,1425.2223,18832250000.0
2012,1504.1425,23473750000.0
2013,1521.3358,15480000000.0
2014,1544.5249,17942000000.0
2015,1468.2057,15321000000.0
2016,1533.571,17733750000.0
2017,1472.6752,16548750000.0
2018,1463.9148,15325500000.0
2019,1530.2151,16278250000.0
2020,1452.6936,15929250000.0
2021,1481.9908,18463250000.0
2022,1452.7706,17477250000.0
2023,1489.6555,21819000000.0
2024,1440.5092,16079250000.0
2025,1457.86,18080250000.0
