year,percentile_90,extent
2001,1444.9705,40003750000.0
2002,1325.8358,29893250000.0
2003,1530.8795,47563250000.0
2004,1487.8514,40777750000.0
2005,1405.5214,31502500000.0
2006,1395.971,35106500000.0
2007,1583.373,52669000000.0
2008,1466.2566,42720250000.0
2009,1346.2323,31524750000.0
2010,1586.0157,54029250000.0
2011,1605.1477,55887750000.0
2012,1742.3414,69265250000.0
2013,1453.5575,40826750000.0
2014,1521.475,47578000000.0
2015,1378.9297,28436250000.0
2016,1593.2112,54214750000.0
2017,1384.19,36219500000.0
2018,1430.816,39382500000.0
2019,1592.3489,54605750000.0
2020,1469.2297,42409750000.0
2021,1580.2092,49854000000.0
2022,1415.3394,36985500000.0
2023,1672.0485,59812250000.0
2024,1322.7405,31048500000.0
2025,1558.9895,51198000000.0
