,CE,CW,NE,NO,NW,SE,SW
2001,25294750000.0,16998500000.0,18469000000.0,17293750000.0,20859750000.0,15279750000.0,40003750000.0
2002,28041000000.0,16858500000.0,21565000000.0,16542250000.0,18610000000.0,15045000000.0,29893250000.0
2003,21603500000.0,19325500000.0,21823000000.0,16900750000.0,21787750000.0,12848000000.0,47563250000.0
2004,26618750000.0,19696750000.0,22097500000.0,13739750000.0,19587250000.0,15850500000.0,40777750000.0
2005,31183250000.0,19019500000.0,23294250000.0,16313750000.0,22002000000.0,17455750000.0,31502500000.0
2006,28093500000.0,17256000000.0,16364500000.0,11507750000.0,22219000000.0,17194500000.0,35106500000.0
2007,32670250000.0,23007500000.0,21177500000.0,12065000000.0,25582750000.0,18660000000.0,52669000000.0
2008,24363250000.0,18829250000.0,23907000000.0,20936000000.0,25601000000.0,18358750000.0,42720250000.0
2009,23531250000.0,17924500000.0,19240750000.0,15995000000.0,26091250000.0,15839250000.0,31524750000.0
2010,32276500000.0,22335500000.0,22172750000.0,16203000000.0,28034750000.0,20206000000.0,54029250000.0
2011,30464250000.0,23930500000.0,22571750000.0,17088500000.0,30334500000.0,18832250000.0,55887750000.0
2012,34179000000.0,27940500000.0,27115750000.0,23165000000.0,34599750000.0,23473750000.0,69265250000.0
2013,28330500000.0,20182750000.0,21123000000.0,7880250000.0,16173000000.0,15480000000.0,40826750000.0
2014,28604750000.0,22084250000.0,19917750000.0,18702000000.0,26165250000.0,17942000000.0,47578000000.0
2015,22986750000.0,20667000000.0,19626250000.0,22927750000.0,32058500000.0,15321000000.0,28436250000.0
2016,30151250000.0,23321750000.0,24120500000.0,18663500000.0,25095500000.0,17733750000.0,54214750000.0
2017,21104000000.0,18341750000.0,19544750000.0,13770000000.0,19563000000.0,16548750000.0,36219500000.0
2018,23189250000.0,18236250000.0,11266750000.0,12881250000.0,16411750000.0,15325500000.0,39382500000.0
2019,33100000000.0,24192500000.0,24572500000.0,22975250000.0,28524000000.0,16278250000.0,54605750000.0
2020,26616250000.0,16795500000.0,21085500000.0,19037500000.0,22471250000.0,15929250000.0,42409750000.0
2021,30227750000.0,19875250000.0,21569500000.0,16060250000.0,22677000000.0,18463250000.0,49854000000.0
2022,23102750000.0,17777250000.0,16739500000.0,19282000000.0,21619000000.0,17477250000.0,36985500000.0
2023,27130000000.0,21509000000.0,25758500000.0,24805500000.0,25263250000.0,21819000000.0,59812250000.0
2024,29341250000.0,16862000000.0,18763000000.0,16200750000.0,19086250000.0,16079250000.0,31048500000.0
2025,29488750000.0,21312750000.0,19264500000.0,10462250000.0,18147000000.0,18080250000.0,51198000000.0
