,CE,CW,NE,NO,NW,SE,SW
2001,1890.2445,1272.3662,1726.3145,1032.3484,1098.9169,1453.7423,1444.9705
2002,1842.573,1263.1632,1719.5527,994.1984,1097.7732,1420.6688,1325.8358
2003,1863.1057,1326.2212,1733.2217,992.80396,1099.8147,1480.4022,1530.8795
2004,1836.7601,1342.5465,1756.108,943.543,1132.9027,1439.7599,1487.8514
2005,1822.0465,1311.9344,1756.3401,982.3862,1162.5415,1397.4769,1405.5214
2006,1827.4027,1271.6023,1819.7937,917.7974,1124.2417,1402.5563,1395.971
2007,1846.0515,1409.7964,1825.3079,913.1359,1171.4586,1447.2871,1583.373
2008,1844.2524,1280.8461,1668.2944,1058.2362,1110.5972,1425.5486,1466.2566
2009,1841.5752,1276.941,1655.8138,967.6189,1121.7355,1437.077,1346.2323
2010,1859.6343,1383.4675,1742.6603,968.14636,1220.8922,1429.1722,1586.0157
2011,1843.0934,1418.7141,1754.7354,978.07666,1231.4326,1425.2223,1605.1477
2012,1898.6285,1514.7656,1789.2615,1087.6305,1349.9146,1504.1425,1742.3414
2013,1837.2329,1335.7706,1761.995,921.6877,1129.1458,1521.3358,1453.5575
2014,1849.8654,1382.5283,1683.4282,1035.4392,1219.7151,1544.5249,1521.475
2015,1906.1096,1332.998,1711.4906,1085.256,1266.4109,1468.2057,1378.9297
2016,1879.9277,1406.5295,1767.5455,1038.9335,1201.3281,1533.571,1593.2112
2017,1901.7218,1285.1113,1651.2126,994.10077,1107.9861,1472.6752,1384.19
2018,1877.6603,1308.0431,1818.5778,977.72595,1064.2789,1463.9148,1430.816
2019,1868.008,1426.5243,1717.991,1071.3353,1217.0288,1530.2151,1592.3489
2020,1802.709,1262.3567,1597.5704,1023.81195,1129.1289,1452.6936,1469.2297
2021,1837.5242,1343.1979,1691.6433,1022.86816,1195.6056,1481.9908,1580.2092
2022,1832.9583,1298.0435,1692.5463,1038.6929,1101.7168,1452.7706,1415.3394
2023,1846.6748,1418.6892,1639.5061,1110.4977,1219.0083,1489.6555,1672.0485
2024,1885.5317,1251.0627,1621.633,993.30536,1097.9832,1440.5092,1322.7405
2025,1828.5427,1372.9366,1726.9406,897.01605,1256.4851,1457.86,1558.9895
