year,percentile_90,extent
2001,1490.8253,156600000000.0
2002,1484.0872,149015000000.0
2003,1531.0275,164368000000.0
2004,1539.7161,160969500000.0
2005,1518.0062,163409750000.0
2006,1508.7117,150199750000.0
2007,1594.9344,188482750000.0
2008,1478.8394,177173500000.0
2009,1427.3455,152538000000.0
2010,1581.8757,197858500000.0
2011,1587.4939,201754500000.0
2012,1684.3339,242396000000.0
2013,1544.9469,152482750000.0
2014,1525.4866,183408250000.0
2015,1461.0125,164452750000.0
2016,1593.9941,195830750000.0
2017,1443.6504,147480500000.0
2018,1478.4554,138970000000.0
2019,1587.6562,206805750000.0
2020,1474.545,166753000000.0
2021,1571.193,181262250000.0
2022,1450.8597,155423500000.0
2023,1597.5527,208601750000.0
2024,1480.7175,149890750000.0
2025,1567.7627,170479250000.0
