year,extent
2001,156600000000.0
2002,149015000000.0
2003,164368000000.0
2004,160969500000.0
2005,163409750000.0
2006,150199750000.0
2007,188482750000.0
2008,177173500000.0
2009,152538000000.0
2010,197858500000.0
2011,201754500000.0
2012,242396000000.0
2013,152482750000.0
2014,183408250000.0
2015,164452750000.0
2016,195830750000.0
2017,147480500000.0
2018,138970000000.0
2019,206805750000.0
2020,166753000000.0
2021,181262250000.0
2022,155423500000.0
2023,208601750000.0
2024,149890750000.0
2025,170479250000.0
